datetime,PV voltage,PV current,PV power L,PV power H,battery voltage,battery current,battery power L,battery power H,load voltage,load current,load power,battery percentage
2021-01-13 00:00:17.707447,0.12,0.0,0.0,0.0,12.3,0.0,0.0,0.0,12.3,0.29,3.56,0.42
2021-01-13 00:02:29.794309,0.12,0.0,0.0,0.0,12.3,0.0,0.0,0.0,12.3,0.23,2.82,0.42
2021-01-13 00:04:29.944220,0.12,0.0,0.0,0.0,12.3,0.0,0.0,0.0,12.3,0.24,2.95,0.42
2021-01-13 00:06:30.130992,0.14,0.0,0.0,0.0,12.3,0.0,0.0,0.0,12.3,0.24,2.95,0.42
2021-01-13 00:08:30.335009,0.14,0.0,0.0,0.0,12.3,0.0,0.0,0.0,12.3,0.24,2.95,0.42
2021-01-13 00:10:30.488060,0.14,0.0,0.0,0.0,12.3,0.0,0.0,0.0,12.3,0.25,3.07,0.42
2021-01-13 00:12:30.673356,0.12,0.0,0.0,0.0,12.3,0.0,0.0,0.0,12.3,0.24,2.95,0.42
2021-01-13 00:14:30.879653,0.14,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.26,3.19,0.42
2021-01-13 00:16:31.082448,0.14,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.23,2.82,0.42
2021-01-13 00:18:31.286342,0.14,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.23,2.82,0.42
2021-01-13 00:20:31.490626,0.14,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.25,3.07,0.42
2021-01-13 00:22:31.699898,0.12,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.23,2.82,0.42
2021-01-13 00:24:31.896750,0.12,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.23,2.82,0.42
2021-01-13 00:26:32.104571,0.1,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.25,3.07,0.42
2021-01-13 00:28:32.307396,0.1,0.0,0.0,0.0,12.29,0.0,0.0,0.0,12.29,0.24,2.94,0.42
2021-01-13 00:30:32.507638,0.08,0.0,0.0,0.0,12.3,0.0,0.0,0.0,12.3,0.25,3.07,0.42
2021-01-13 00:32:32.709958,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.26,3.19,0.41
2021-01-13 00:34:32.891833,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-13 00:36:33.098366,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-13 00:38:33.308767,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.25,3.06,0.41
2021-01-13 00:40:33.514124,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-13 00:42:33.718238,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-13 00:44:33.923572,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.25,3.06,0.41
2021-01-13 00:46:34.100131,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-13 00:48:34.306665,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.25,3.06,0.41
2021-01-13 00:50:34.511998,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.26,3.19,0.41
2021-01-13 00:52:34.717327,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-13 00:54:34.928773,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.26,3.19,0.41
2021-01-13 00:56:35.132794,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.23,2.82,0.41
2021-01-13 00:58:35.345571,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.25,3.06,0.41
2021-01-13 01:00:35.464596,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-13 01:02:35.669861,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.26,3.19,0.41
2021-01-13 01:04:35.827676,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.25,3.06,0.41
2021-01-13 01:06:35.949173,0.08,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.26,3.18,0.4
2021-01-13 01:08:36.160623,0.08,0.0,0.0,0.0,12.27,0.0,0.0,0.0,12.27,0.24,2.94,0.41
2021-01-13 01:10:36.367218,0.08,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.25,3.06,0.4
2021-01-13 01:12:36.572429,0.08,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.25,3.06,0.4
2021-01-13 01:14:36.781465,0.08,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.23,2.81,0.4
2021-01-13 01:16:36.985410,0.1,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.23,2.81,0.4
2021-01-13 01:18:37.196931,0.1,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.4
2021-01-13 01:20:37.404687,0.1,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.4
2021-01-13 01:22:37.544965,0.1,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.4
2021-01-13 01:24:37.754076,0.1,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.25,3.06,0.4
2021-01-13 01:26:37.965569,0.1,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.23,2.81,0.4
2021-01-13 01:28:38.103337,0.1,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.4
2021-01-13 01:30:38.317389,0.1,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.4
2021-01-13 01:32:38.421354,0.1,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.25,3.06,0.4
2021-01-13 01:34:38.630354,0.1,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.24,2.93,0.4
2021-01-13 01:36:38.834354,0.1,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.4
2021-01-13 01:38:39.045857,0.12,0.0,0.0,0.0,12.25,0.0,0.0,0.0,12.25,0.24,2.94,0.4
2021-01-13 01:40:39.258596,0.1,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.25,3.05,0.4
2021-01-13 01:42:39.466351,0.1,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.23,2.81,0.4
2021-01-13 01:44:39.675189,0.1,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.24,2.93,0.4
2021-01-13 01:46:39.886105,0.12,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.25,3.05,0.4
2021-01-13 01:48:40.096126,0.12,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.24,2.93,0.4
2021-01-13 01:50:40.263884,0.12,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.25,3.05,0.4
2021-01-13 01:52:40.470615,0.1,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.24,2.93,0.4
2021-01-13 01:54:40.684964,0.1,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.25,3.05,0.4
2021-01-13 01:56:40.845723,0.1,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.26,3.17,0.4
2021-01-13 01:58:41.055360,0.1,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.25,3.05,0.4
2021-01-13 02:00:41.267563,0.12,0.0,0.0,0.0,12.23,0.0,0.0,0.0,12.23,0.24,2.93,0.4
